2010-02-23,Csirkecomb,399,,580,,618,,895,,600,,650,,499,,749,,580,,960,
2010-02-23,Csirkemell,730,,900,,995,,1360,,800,,1250,,890,,1100,,799,,1290,
2010-02-23,Marhalábszár,1350,,1590,,1398,,1680,,1600,,1890,,,1650,,,1500,,1800,
2010-02-23,Marhafelsál,1590,,1790,,1598,,1798,,1700,,1980,,,1950,,,1750,,1800,
2010-02-26,Sárgarépa,128,,248,,198,,300,,170,,200,,148,,298,,98,,300,
2010-02-26,Gyökér,200,,980,,498,,800,,300,,680,,498,,680,,198,,700,
2010-02-26,Zeller(csomó),299,,498,,298,,500,,300,,400,,248,,398,,100,,200,
2010-02-26,Burgonya,89,,270,,98,,200,,100,,120,,128,,198,,58,,200,
2010-02-26,Vöröshagyma,140,,198,,168,,280,,128,,200,,148,,198,,140,,200,
2010-02-26,Paradicsom,99,,1280,,448,,1200,,480,,980,,398,,1100,,298,,1200,
2010-02-26,Paprika,148,,1200,,498,,980,,480,,980,,498,,999,,498,,980,
2010-02-26,Karfiol,240,,500,,480,,580,,400,,480,,398,,499,,298,,500,
2010-02-26,Karalábé (db),80,,180,,160,,250,,160,,180,,120,,198,,50,,200,
2010-02-26,Fejes káposzta,119,,148,,128,,280,,130,,160,,148,,218,,98,,260,
2010-02-26,Kelkáposzta,198,,340,,348,,400,,200,,280,,248,,298,,220,,350,
2010-02-26,Fejes saláta (db),80,,220,,149,,280,,,200,,,148,,198,,80,,260,
2010-02-26,Uborka,148,,780,,698,,750,,680,,780,,480,,780,,680,,798,
2010-02-26,Retek (csomó),50,,280,,69,,180,,130,,250,,148,,248,,60,,160,
2010-02-26,Spenót,499,,900,,800,,900,,,780,,,648,,980,,398,,1000,
2010-02-26,Tök,198,,360,,,,,,360,,380,,,,,,,,,
2010-02-26,Gomba,380,,980,,398,,660,,300,,500,,440,,680,,398,,700,
2010-02-26,Alma,90,,300,,109,,360,,120,,400,,88,,380,,68,,300,
2010-02-26,Körte,198,,298,,298,,780,,980,,1180,,399,,580,,248,,598,
2010-02-26,Szőlő,480,,1200,,880,,1190,,980,,1200,,680,,1380,,598,,1200,
2010-02-26,Földieper,880,,1560,,,,,,,1600,,,1499,,1580,,800,,1600,
2010-02-26,Málna,6800,,9600,,,,,,,,,,,,,,,10000,,
2010-02-26,Sárgadinnye,298,,980,,,,,,,780,,,,498,,,398,,650,
2010-02-26,Ringló,299,,980,,,,,,,,,,,,,,,,,
2010-02-26,Citrom,198,,500,,,398,,,300,,480,,399,,598,,248,,598,
2010-02-26,Narancs,148,,500,,129,,248,,200,,500,,168,,498,,168,,498,
2010-02-26,Mandarin,198,,600,,348,,399,,360,,500,,248,,540,,298,,548,
2010-02-26,Banán,220,,400,,,298,,,300,,348,,398,,440,,228,,398,
2010-02-26,Sertéscomb,898,,1098,,938,,1140,,990,,1300,,,1050,,,1000,,1300,
2010-02-26,Sertéskaraj,998,,1250,,1099,,1198,,1140,,1400,,1200,,1280,,998,,1400,
2010-02-26,Sertéslapocka,898,,1050,,938,,1140,,1060,,1250,,,1020,,,1000,,1300,
2010-02-26,Csirkecomb,349,,599,,618,,895,,600,,650,,499,,749,,499,,960,
2010-02-26,Csirkemell,730,,900,,1020,,1399,,800,,1250,,890,,1100,,799,,1290,
2010-02-26,Marhalábszár,1350,,1590,,1498,,1680,,1600,,1890,,,1650,,,1690,,1800,
2010-02-26,Marhafelsál,1590,,1790,,1598,,1780,,1700,,1980,,,1950,,,1750,,1800,
2010-03-02,Sárgarépa,98,,248,,198,,300,,170,,200,,148,,298,,98,,300,
2010-03-02,Gyökér,299,,980,,448,,800,,300,,680,,598,,880,,298,,700,
2010-03-02,Zeller(csomó),200,,498,,298,,600,,300,,400,,248,,398,,150,,280,
2010-03-02,Burgonya,80,,270,,98,,280,,100,,120,,128,,198,,68,,200,
2010-03-02,Vöröshagyma,140,,160,,198,,300,,128,,200,,148,,198,,100,,200,
2010-03-02,Paradicsom,199,,1280,,448,,1200,,480,,980,,498,,1100,,280,,1200,
2010-03-02,Paprika,199,,1200,,598,,1000,,480,,980,,398,,1100,,398,,980,
2010-03-02,Karfiol,278,,498,,498,,600,,400,,480,,398,,499,,148,,498,
2010-03-02,Karalábé (db),99,,180,,198,,220,,160,,180,,120,,198,,70,,200,
2010-03-02,Fejes káposzta,119,,140,,128,,260,,130,,160,,148,,180,,98,,200,
2010-03-02,Kelkáposzta,240,,340,,348,,400,,200,,280,,248,,298,,220,,350,
2010-03-02,Fejes saláta (db),50,,220,,99,,280,,200,,240,,168,,248,,80,,250,
2010-03-02,Uborka,199,,780,,,798,,,500,,680,,480,,780,,498,,800,
2010-03-02,Retek (csomó),60,,280,,49,,200,,130,,250,,180,,328,,50,,160,
2010-03-02,Spenót,400,,800,,,800,,,,780,,,,,,,280,,1000,
2010-03-02,Tök,198,,360,,,,,,360,,380,,,,,,,,,
2010-03-02,Gomba,300,,980,,398,,600,,300,,500,,440,,498,,198,,700,
2010-03-02,Alma,78,,300,,108,,360,,120,,400,,98,,380,,78,,360,
2010-03-02,Körte,198,,500,,298,,780,,360,,580,,440,,580,,198,,698,
2010-03-02,Szőlő,480,,1200,,780,,1200,,880,,980,,1180,,1380,,298,,1200,
2010-03-02,Földieper,880,,1800,,,1398,,,980,,1600,,1580,,1980,,680,,1520,
2010-03-02,Sárgadinnye,850,,980,,,,,,,780,,,,,,,398,,650,
2010-03-02,Görögdinnye,480,,800,,,,,,,,,,,,,,,500,,
2010-03-02,Ringló,298,,1200,,,,,,,,,,,,,,,,,
2010-03-02,Citrom,198,,500,,,398,,,300,,480,,399,,598,,198,,598,
2010-03-02,Narancs,99,,500,,99,,248,,170,,400,,198,,498,,148,,450,
2010-03-02,Mandarin,149,,600,,348,,399,,380,,580,,248,,598,,198,,648,
2010-03-02,Banán,198,,400,,268,,298,,300,,348,,398,,440,,248,,398,
2010-03-02,Sertéscomb,898,,1098,,938,,999,,960,,1300,,,1050,,,1000,,1300,
2010-03-02,Sertéskaraj,990,,1199,,1098,,1198,,1020,,1400,,1200,,1280,,1100,,1400,
2010-03-02,Sertéslapocka,898,,1050,,938,,999,,960,,1150,,,1020,,,1000,,1300,
2010-03-02,Csirkecomb,399,,780,,568,,895,,600,,650,,499,,749,,399,,960,
2010-03-02,Csirkemell,730,,900,,948,,1280,,800,,1250,,890,,1100,,799,,1290,
2010-03-02,Marhalábszár,1380,,1590,,1498,,1758,,1600,,1890,,,1650,,,1500,,1800,
2010-03-02,Marhafelsál,1590,,1699,,1598,,1800,,1700,,1980,,,1950,,,1750,,1800,
2010-03-05,Sárgarépa,148,,248,,198,,300,,170,,200,,148,,298,,98,,300,
2010-03-05,Gyökér,480,,980,,448,,1000,,300,,680,,598,,880,,98,,700,
2010-03-05,Zeller(csomó),299,,498,,298,,500,,300,,400,,248,,398,,100,,250,
2010-03-05,Burgonya,98,,270,,98,,260,,100,,120,,128,,198,,58,,220,
2010-03-05,Vöröshagyma,139,,198,,198,,300,,128,,200,,148,,198,,100,,200,
2010-03-05,Paradicsom,299,,1280,,448,,1200,,480,,980,,498,,1100,,280,,1100,
2010-03-05,Paprika,199,,1200,,598,,1200,,480,,980,,698,,1100,,348,,980,
2010-03-05,Karfiol,240,,480,,498,,600,,450,,500,,398,,499,,148,,500,
2010-03-05,Karalábé (db),150,,180,,180,,220,,160,,180,,120,,198,,60,,200,
2010-03-05,Kelkáposzta,198,,340,,348,,350,,200,,280,,248,,298,,198,,350,
2010-03-05,Fejes saláta (db),110,,300,,198,,280,,,240,,,168,,248,,150,,250,
2010-03-05,Uborka,250,,680,,680,,800,,500,,680,,480,,880,,698,,998,
2010-03-05,Retek (csomó),130,,140,,59,,200,,100,,360,,180,,328,,60,,200,
2010-03-05,Sóska,800,,980,,1000,,1200,,,1200,,,,780,,,,1000,,
2010-03-05,Spenót,299,,780,,700,,800,,780,,1200,,,580,,,,1000,,
2010-03-05,Zöldbab,1480,,1680,,,,,,,,,,,,,,,,,
2010-03-05,Tök,198,,340,,,600,,,240,,300,,,,,,,,,
2010-03-05,Gomba,198,,980,,398,,600,,480,,500,,440,,498,,398,,700,
